id,artista,numero,musica,genero
843,Chico Buarque,03917,GENTE HUMILDE,MPB/Romântico
844,Chico Buarque,03366,IOLANDA,MPB/Romântico
845,Chico Buarque,30175,MEU CARO AMIGO,MPB/Romântico
846,Chico Buarque,33040,O MEU GURI,MPB/Romântico
847,Chico Buarque,03191,O QUE SERÁ (A FLOR DA TERRA),MPB/Romântico
848,Chico Buarque,15274,TERESINHA,MPB/Romântico
849,Chico Buarque,15098,VALSINHA,MPB/Romântico
850,Chico Buarque,03941,A BANDA,MPB/Romântico
851,Chico Buarque,15023,A RITA,MPB/Romântico
852,Chico Buarque,03455,APESAR DE VOCÊ,MPB/Romântico
853,Chico Buarque,09630,CAROLINA,MPB/Romântico
854,Chico Buarque,07575,COTIDIANO,MPB/Romântico
855,Chico Buarque,15050,GENI E O ZEPELIM,MPB/Romântico
856,Chico Buarque,33576,MINHA HISTÓRIA,MPB/Romântico
857,Chico Buarque,33277,PARATODOS,MPB/Romântico
858,Chico Buarque,06872,QUEM TE VIU QUEM TE VÊ,MPB/Romântico
859,Chico Buarque,06433,RODA VIVA,MPB/Romântico
860,Chico Buarque,03276,TROCANDO EM MIUDOS,MPB/Romântico
861,Chico Buarque,06766,BYE BYE BRASIL,MPB/Romântico
862,Chico Buarque & MPB4,01541,AMIGO É PRA ESSAS COISAS,MPB/Romântico
863,Chico Buarque & Nara Leão,04319,JOÃO E MARIA,MPB/Romântico
864,Chico César,03624,MAMA ÁFRICA,Desconhecido
865,Chico Rey e Paraná,09599,ALMA TRANSPARENTE,Sertanejo (dupla presumida)
866,Chico Rey e Paraná,30278,AMOR REBELDE,Sertanejo (dupla presumida)
867,Chico Rey e Paraná,30267,BLUSA VERMELHA,Sertanejo (dupla presumida)
868,Chico Rey e Paraná,15245,CANARINHO PRISIONEIRO,Sertanejo (dupla presumida)
869,Chico Rey e Paraná,15072,LEÃO DOMADO,Sertanejo (dupla presumida)
870,Chico Rey e Paraná,30268,QUEM SERÁ SEU OUTRO AMOR,Sertanejo (dupla presumida)
871,Chico Rey e Paraná,30566,TÁ COM RAIVA DE MIM,Sertanejo (dupla presumida)
872,Chico Rey e Paraná,30430,TRANQUE A PORTA E ME BEIJA,Sertanejo (dupla presumida)
873,Chico Rey e Paraná,33851,DE LÁ PRA CÁ,Sertanejo (dupla presumida)
874,Chimarruts,01667,DO LADO DE CÁ,Desconhecido
875,Chimarruts,09908,VERSOS SIMPLES,Desconhecido
876,Chiquititas,03811,REMEXE (RECHUFAS),Rock BR
877,Chitãozinho & Xororó,03551,60 DIAS APAIXONADO,Sertanejo
878,Chitãozinho & Xororó,03862,A MINHA VIDA,Sertanejo
879,Chitãozinho & Xororó,04345,ALÔ,Sertanejo
880,Chitãozinho & Xororó,03510,BAILÃO DE PEÃO,Sertanejo
881,Chitãozinho & Xororó,03414,CORAÇÃO SERTANEJO,Sertanejo
882,Chitãozinho & Xororó,04032,DEIXEI DE SER COWBOY POR ELA,Sertanejo
883,Chitãozinho & Xororó,15818,É DISSO QUE O VELHO GOSTA,Sertanejo
884,Chitãozinho & Xororó,03706,ELA NÃO VAI MAIS CHORAR,Sertanejo
885,Chitãozinho & Xororó,06461,EU E O SABIÁ,Sertanejo
886,Chitãozinho & Xororó,04080,EU MENTI,Sertanejo
887,Chitãozinho & Xororó,03094,EVIDÊNCIAS,Sertanejo
888,Chitãozinho & Xororó,07965,FALANDO ÀS PAREDES,Sertanejo
889,Chitãozinho & Xororó,03102,FIO DE CABELO,Sertanejo
890,Chitãozinho & Xororó,07610,FOGÃO DE LENHA,Sertanejo
891,Chitãozinho & Xororó,03326,FOGE DE MIM,Sertanejo
892,Chitãozinho & Xororó,04165,NA ABA DO MEU CHAPÉU,Sertanejo
893,Chitãozinho & Xororó,03479,NASCEMOS PRA CANTAR,Sertanejo
894,Chitãozinho & Xororó,03172,NO RANCHO FUNDO,Sertanejo
895,Chitãozinho & Xororó,03588,PÁGINA DE AMIGOS,Sertanejo
896,Chitãozinho & Xororó,03677,PALAVRAS (WORDS),Sertanejo
897,Chitãozinho & Xororó,03896,PURA EMOÇÃO,Sertanejo
898,Chitãozinho & Xororó,03593,SAUDADE DA MINHA TERRA,Sertanejo
899,Chitãozinho & Xororó,03933,SE DEUS ME OUVISSE,Sertanejo
900,Chitãozinho & Xororó,04216,TE ESQUECER É IMPOSSÍVEL,Sertanejo
901,Chitãozinho & Xororó,03035,BRINCAR DE SER FELIZ,Sertanejo
902,Chitãozinho & Xororó,33117,CIUMENTO DEMAIS,Sertanejo
903,Chitãozinho & Xororó,33120,COLCHA DE RETALHOS,Sertanejo
904,Chitãozinho & Xororó,03655,CONFIDÊNCIAS,Sertanejo
905,Chitãozinho & Xororó,07149,GALINHADA,Sertanejo
906,Chitãozinho & Xororó,33293,SE FOR PRA SER FELIZ,Sertanejo
907,Chitãozinho & Xororó,33296,SEM DESTINO,Sertanejo
908,Chitãozinho & Xororó,06876,SISTEMA BRUTO,Sertanejo
909,Chitãozinho & Xororó,33318,SOMOS ASSIM,Sertanejo
910,Chitãozinho & Xororó,33339,TRADIÇÃO GAUCHA,Sertanejo
911,Chitãozinho & Xororó,06800,TRISTEZA DO JECA,Sertanejo
912,Chitãozinho & Xororó,03395,UM HOMEM QUANDO AMA,Sertanejo
913,Chitãozinho & Xororó ft. Rita Coolidge,06170,CORAÇÃO VAZIO (WE'RE ALL ALONE),Sertanejo
914,Chitaozinho & Xororó part. Roupa Nova,06258,FRIO DA SOLIDÃO (DON'T LET ME DOWN),Sertanejo
915,Chitãozinho e Xororó,03678,PODE SER PRA VALER,Sertanejo
916,Chitãozinho e Xororó,31056,OBRAS DE POETA,Sertanejo
917,Christian e Cristiano,01422,FÃ,Sertanejo (dupla presumida)
918,Chrystian & Ralf,01731,AUSÊNCIA,Sertanejo (dupla presumida)
919,Chrystian & Ralf,30275,CHORA PEITO,Sertanejo (dupla presumida)
920,Chrystian & Ralf,03421,ESSE AMOR QUE ME MATA,Sertanejo (dupla presumida)
921,Chrystian & Ralf,04006,MIA GIOCONDA,Sertanejo (dupla presumida)
922,Chrystian & Ralf,33483,OLHOS DE LUAR,Sertanejo (dupla presumida)
923,Chrystian & Ralf,06583,ONDE VOCÊ FOR EU VOU,Sertanejo (dupla presumida)
924,Chrystian & Ralf,04013,SENSÍVEL DEMAIS,Sertanejo (dupla presumida)
925,Chrystian & Ralf,07251,SOU EU,Sertanejo (dupla presumida)
926,Chrystian & Ralf,06360,UM CANTINHO DO SEU CORAÇÃO (CACHITO),Sertanejo (dupla presumida)
927,Chrystian & Ralf,06665,NOVA YORK,Sertanejo (dupla presumida)
928,Chrystian & Ralf,06898,CHEIRO DE SHAMPOO,Sertanejo (dupla presumida)
929,Chrystian & Ralf,30880,AMOR ALÉM DA VIDA,Sertanejo (dupla presumida)
930,Chrystian & Ralf,30881,É DESSE JEITO QUE A GENTE SE AMA,Sertanejo (dupla presumida)
931,Chrystian & Ralf,30882,LOUCURA DEMAIS,Sertanejo (dupla presumida)
932,Chrystian & Ralf,30883,PRAZER POR PRAZER,Sertanejo (dupla presumida)
933,Chrystian & Ralf,30884,VIDA DIVIDIDA,Sertanejo (dupla presumida)
934,Chrystian & Ralf,30885,YOLANDA,Sertanejo (dupla presumida)
935,Chrystian & Ralf,33077,BASTA UM OLHAR,Sertanejo (dupla presumida)
936,Chrystian & Ralf,06955,O QUE TIVER QUE VIR VIRÁ,Sertanejo (dupla presumida)
937,Chrystian & Ralf,30549,POEIRA NO VENTO,Sertanejo (dupla presumida)
938,Cidade Negra,06482,A ESTRADA,Desconhecido
939,Cidade Negra,03352,A SOMBRA DA MALDADE,Desconhecido
940,Cidade Negra,03619,FIRMAMENTO,Desconhecido
941,Cidade Negra,06374,GIRASSOL,Desconhecido
942,Cidade Negra,03337,ONDE VOCÊ MORA?,Desconhecido
943,Cidade Negra,03534,PENSAMENTO,Desconhecido
944,Cidade Negra,03889,O ERÊ,Desconhecido
945,Cidade Negra,03384,QUEREM MEU SANGUE,Desconhecido
946,Cidade Negra e Lulu Santos,04212,SÁBADO À NOITE,Sertanejo (dupla presumida)
947,Cídia e Dan,33042,CLOSE TO YOU,Sertanejo (dupla presumida)
948,Circuladô de Fulô,33043,"O SOL, A LIZ E O BEIJAFLOR",Desconhecido
949,Clara Nunes,07082,CANTO DAS TRÊS RAÇAS,Desconhecido
950,Clara Nunes,07095,CONTO DE AREIA,Desconhecido
951,Clara Nunes,07135,FEIRA DE MANGAIO,Desconhecido
952,Clara Nunes,04117,LAMA,Desconhecido
953,Claudia Leitte,02665,BEIJAR NA BOCA,Desconhecido
954,Claudia Leitte,15407,CLAUDINHA BAGUNCEIRA,Desconhecido
955,Claudia Leitte,09455,EXTRAVASA,Desconhecido
956,Claudia Leitte,15036,LARGADINHO,Desconhecido
957,Claudia Leitte,09859,PÁSSAROS,Desconhecido
958,Cláudia Leitte,30285,BALDIN DE GELO,Desconhecido
959,Cláudia Leitte,33425,CARTÓRIO,Desconhecido
960,Cláudia Leitte,33910,RICOS DE AMOR,Desconhecido
961,Cláudia Leitte,30074,TAQUITÁ,Desconhecido
962,Cláudia Leitte,15318,TARRAXINHA,Desconhecido
963,Cláudia Leitte,15704,MATIMBA,Desconhecido
964,Cláudia Leitte ft. Pitbull,30497,CARNAVAL,Desconhecido
965,Claudia Telles,07961,EU PRECISO TE ESQUECER,Desconhecido
966,Claudinho e Buchecha,06408,COISA DE CINEMA,Sertanejo (dupla presumida)
967,Claudinho e Buchecha,03656,CONQUISTA,Sertanejo (dupla presumida)
968,Claudinho e Buchecha,33619,RAP DO SALGUEIRO,Sertanejo (dupla presumida)
969,Claudinho e Buchecha,30279,TE ENCONTRAR,Sertanejo (dupla presumida)
970,Claudinho e Buchecha,03887,NOSSO SONHO,Sertanejo (dupla presumida)
971,Claudinho e Buchecha,04133,SÓ LOVE,Sertanejo (dupla presumida)
972,Claudio Fontana,30779,O TEMPO ME TRAIU,Desconhecido
973,Cláudio Zoli,06487,"CADA UM, CADA UM (A NAMORADEIRA)",Desconhecido
974,Cláudio Zoli,06427,NOITE DO PRAZER,Desconhecido
975,Cláudio Zoli,30532,O FAROL,Desconhecido
976,Cleber e Cauan,33221,MEL NESSE TREM,Sertanejo (dupla presumida)
977,Cleber e Cauan,30555,QUASE,Sertanejo (dupla presumida)
978,Cleber e Cauan,33781,SONHO,Sertanejo (dupla presumida)
979,Cleber e Cauan,30676,TBT (TÔ BEBENDO TODAS),Sertanejo (dupla presumida)
980,Cleber e Cauan part. Cácio e Marcos,33045,SÓ QUE NÃO,Sertanejo (dupla presumida)
981,Cleber e Cauan part. Israel Novaes,33992,TÔ COM PENA DE VOCÊ,Sertanejo (dupla presumida)
982,Cleber e Cauan Part. Jorge,30780,PEDAÇO MEU,Sertanejo (dupla presumida)
983,Cleiton e Camargo,04022,AGENDA RABISCADA,Sertanejo (dupla presumida)
984,Cleiton e Camargo,03931,QUANDO UM GRANDE AMOR SE FAZ,Sertanejo (dupla presumida)
985,Cogumelo Plutão,06253,ESPERANDO NA JANELA,Desconhecido
986,Companhia do Pagode,03375,BOQUINHA DA GARRAFA,Desconhecido
987,Companhia do Pagode,04094,"PSIU, PSIU",Desconhecido
988,Conde do Forró,30994,ROMANCE DESAPEGADO,Desconhecido
989,Conrado e Aleksandro,33356,CAMINHÃO PIPA,Sertanejo (dupla presumida)
990,Conrado e Aleksandro,33091,CAMINHONETE INTEIRA,Sertanejo (dupla presumida)
991,Conrado e Aleksandro,33745,CHORANDO MAMADO,Sertanejo (dupla presumida)
992,Conrado e Aleksandro,33218,LOBOS,Sertanejo (dupla presumida)
993,Conrado e Aleksandro,33047,SÓ SE FOR GELADA,Sertanejo (dupla presumida)
994,Conrado e Aleksandro part. Bruno e Barreto,33795,TÔ BEBENDO DE TORNEIRA,Sertanejo (dupla presumida)
995,Conrado e Aleksandro part. Marco Brasil Filho ft. DJ Kevin,30466,PÕE NO 120,Sertanejo (dupla presumida)
996,Copacabana Beat,03148,MEL DA SUA BOCA,Desconhecido
997,CPM,22,09596 ALÉM DE NÓS,Desconhecido
998,CPM,22,06566 DIAS ATRÁS,Desconhecido
999,CPM,22,07157 IRREVERSÍVEL,Desconhecido
1000,CPM,22,15390 NÃO SEI VIVER SEM TER VOCÊ,Desconhecido
1001,CPM,22,07198 O MUNDO DÁ VOLTAS,Desconhecido
1002,CPM,22,09903 UM MINUTO PARA O FIM DO MUNDO,Desconhecido
1003,CPM,22,06389 TARDE DE OUTUBRO,Desconhecido
1004,CPM,22,31013 60 SEGUNDOS,Desconhecido
1005,CPM22,07618,INEVITÁVEL,Desconhecido
1006,Cravo e Canela,03122,LÁ VEM O NEGÃO,Sertanejo (dupla presumida)
1007,Criolo,30117,NÃO EXISTE AMOR EM SP,Desconhecido
1008,Cristiano Araújo,33747,BALADA PRIME,Desconhecido
1009,Cristiano Araújo,33746,BLACKOUT,Desconhecido
1010,Cristiano Araújo,15286,CASO INDEFINIDO,Desconhecido
1011,Cristiano Araújo,33049,CÊ QUE SABE,Desconhecido
1012,Cristiano Araújo,33015,É COM ELA QUE ESTOU,Desconhecido
1013,Cristiano Araújo,33050,É SÓ CHEGAR E BEIJAR,Desconhecido
1014,Cristiano Araújo,15293,EMPINADINHA,Desconhecido
1015,Cristiano Araújo,02795,FAZENDO BARÁ BERÊ,Desconhecido
1016,Cristiano Araújo,33068,HOJE EU TÔ TERRÍVEL,Desconhecido
1017,Cristiano Araújo,15469,MAUS BOCADOS,Desconhecido
1018,Cristiano Araújo,33051,ME APEGO,Desconhecido
1019,Cristiano Araújo,15180,MENTE PRA MIM,Desconhecido
1020,Cristiano Araújo,33566,NOSSO AMOR JÁ ERA,Desconhecido
1021,Cristiano Araújo,33902,VAI DOER,Desconhecido
1022,Cristiano Araújo,15280,VOCÊ MUDOU,Desconhecido
1023,Cristiano Araújo & Gusttavo Lima,15033,É FATO,Sertanejo
1024,Cristiano Araújo & Humberto e Ronaldo,33052,SIMPLES ASSIM,Sertanejo (dupla presumida)
1025,Cristiano Araújo & Jads e Jadson,33340,TRAIÇÃO A QUEIMA ROUPA,Sertanejo (dupla presumida)
1026,Cristiano Araújo part. Hugo Henrique,30695,DELÍRIOS DE AMAR,Desconhecido
1027,Dadá Boladão & Tati Zaqui & OIK,30830,SURTADA,Sertanejo (dupla presumida)
1028,Dallas Company,06451,CLIMA DE RODEIO,Desconhecido
1029,Dalto,03163,MUITO ESTRANHO,Desconhecido
1030,Dalvan,03945,AGORA OU NUNCA,Desconhecido
1031,Damares,33599,CASA DE DEUS,Gospel
1032,Damares,33625,MILAGRE,Gospel
1033,Damares,02433,SABOR DE MEL,Gospel
1034,Damares,33504,O MAIOR TROFÉU,Gospel
1035,Dani Russo,30056,A MELHOR DO BAILE,Desconhecido
1036,Daniel,04341,A GATA DO MILÊNIO,Desconhecido
1037,Daniel,04021,ADORO AMAR VOCÊ,Desconhecido
1038,Daniel,07901,AMOR ABSOLUTO,Desconhecido
1039,Daniel,33748,BICA D'ÁGUA,Desconhecido
1040,Daniel,06489,DÁ-ME DÁ-ME,Desconhecido
1041,Daniel,04072,DECLARAÇÃO DE AMOR,Desconhecido
1042,Daniel,04152,DENGO,Desconhecido
1043,Daniel,01785,DO OUTRO LADO DO RÁDIO,Desconhecido
1044,Daniel,06130,EMBRIAGADO DE AMOR,Desconhecido
1045,Daniel,01996,EU AMO AMAR VOCÊ,Desconhecido
1046,Daniel,30331,FOGO DE AMOR,Desconhecido
1047,Daniel,30347,MACHUCA EU,Desconhecido
1048,Daniel,33054,MARAVIDA,Desconhecido
1049,Daniel,06828,OS AMANTES,Desconhecido
1050,Daniel,06960,PEÃO APAIXONADO,Desconhecido
1051,Daniel,04169,PRA FALAR A VERDADE,Desconhecido
1052,Daniel,04455,QUE ERA EU,Desconhecido
1053,Daniel,06077,SHOW DE BOLA,Desconhecido
1054,Daniel,30425,TAMPA DA PANELA,Desconhecido
1055,Daniel,06318,UM BEIJO PRA ME ENLOUQUECER,Desconhecido
1056,Daniel,30592,VOU LEVANDO A VIDA,Desconhecido
1057,Daniel,30952,PRA SER FELIZ,Desconhecido
1058,Daniel,06242,A JIRIPOCA VAI PIAR,Desconhecido
1059,Daniel,04386,AO MEU LADO OUTRA VEZ,Desconhecido
1060,Daniel,06909,DESATINO,Desconhecido
1061,Daniel,09661,DIFÍCIL NÃO FALAR DE AMOR,Desconhecido
1062,Daniel,06782,JOGADO NA RUA,Desconhecido
1063,Daniel,07424,"QUEM DIRIA, HEIN?",Desconhecido
1064,Daniel,04338,VAI DAR SAMBA,Desconhecido
1065,Daniel,06520,VIDA MINHA,Desconhecido
1066,Daniel e Camilo,06736,MEU REINO ENCANTADO,Sertanejo (dupla presumida)
1067,Daniela Mercury,03333,MÚSICA DE RUA,Desconhecido
1068,Daniela Mercury,03583,NOBRE VAGABUNDO,Desconhecido
1069,Daniela Mercury,03187,O CANTO DA CIDADE,Desconhecido
1070,Daniela Mercury,03635,RAPUNZEL,Desconhecido
1071,Daniela Mercury,30407,ROSA NEGRA,Desconhecido
1072,Daniela Mercury,04055,SWING DA COR,Desconhecido
1073,Daniela Mercury,07470,TRIO METAL,Desconhecido
1074,Daniela Mercury,03451,A PRIMEIRA VISTA,Desconhecido
1075,Danni Carlos,07927,COISAS QUE EU SEI,Desconhecido
1076,Dave Maclean,04940,ME AND YOU,Desconhecido
1077,Dave Maclean,33891,WE SAID GOODBYE,Desconhecido
1078,Davi Sacer,30953,DEUS NÃO FALHARÁ,Desconhecido
1079,Davi Sacer,33505,CONFIAREI,Desconhecido
1080,Day & Lara part. Maiara e Maraísa,30096,ATÉ EX DUVIDA,Sertanejo (dupla presumida)
1081,D'Black,09876,SEM AR,Desconhecido
1082,D'Black e Negra Li,09902,UM MINUTO,Sertanejo (dupla presumida)
1083,Dead Fish,33114,QUEDA LIVRE,Desconhecido
1084,Deborah Blanco,31057,A MAÇÃ,Desconhecido
1085,Deborah Blando,06483,A LUZ QUE ACENDE O OLHAR,Desconhecido
1086,Deborah Blando,06375,INNOCENCE,Desconhecido
1087,Demétrius,03237,RITMO DA CHUVA,Desconhecido
1088,Demônios da Garoa,30323,EU E DEUS NA INTIMIDADE,Desconhecido
1089,Demônios da Garoa,06611,IRACEMA,Desconhecido
1090,Demônios da Garoa,03245,SAMBA DO ARNESTO,Desconhecido
1091,Denner Ferrari & Lucas Lucco,33056,SUA LINDA,Sertanejo (dupla presumida)
1092,Dennis DJ & João Lucas e Marcelo part. Ronaldinho,15700,VAMOS BEBER,Sertanejo (dupla presumida)
1093,Dennis DJ & Naldo & Mc Koringa & Mr. Catra,33219,QUERO TE PROVAR,Sertanejo (dupla presumida)
1094,Dennis DJ & Terapí e Neblina,33108,QUANDO O DJ MANDAR,Sertanejo (dupla presumida)
1095,Dennis DJ e MC G15,30671,SÓ VOCÊ (SÓ PRECISO DE VOCÊ),Sertanejo (dupla presumida)
1096,Dennis DJ ft. Cláudia Leitte,30109,EU GOSTO,Desconhecido
1097,"Dennis DJ, Bruno Martini ft. Vitin",30675,SOU TEU FÃ,Desconhecido
1098,"Dennis DJ, MC Kevinho",30687,AGORA É TUDO MEU,Funk/Pop BR
1099,Deny e Dino,06453,CORUJA,Sertanejo (dupla presumida)
1100,Detonautas,07652,O AMANHÃ,Rock BR
1101,Detonautas,01306,OLHOS CERTOS,Rock BR
1102,Detonautas,06587,QUANDO O SOL SE FOR,Rock BR
1103,Detonautas,09364,VOCÊ ME FAZ TÃO BEM,Rock BR
1104,Detonautas,06543,OUTRO LUGAR,Rock BR
1105,Di Paulo e Paulinho,30381,O QUE É QUE EU SOU SEM VOCÊ,Sertanejo (dupla presumida)
1106,Di Paulo e Paulino,30886,AMOR DE PRIMAVERA,Sertanejo (dupla presumida)
1107,Diana,30156,FATALIDADE,Desconhecido
1108,Diana,03719,PORQUE BRIGAMOS,Desconhecido
1109,Diante do Trono,02409,AOS OLHOS DO PAI,Gospel
1110,Diante do Trono,07778,ESPERANÇA,Gospel
1111,Diego e Arnaldo,30677,TE ASSUMO,Sertanejo (dupla presumida)
1112,"Diego e Victo Hugo, Raí Saia Rodada",30954,PISADINHA,Sertanejo (dupla presumida)
1113,Diego e Victor Hugo,30699,INFARTO,Sertanejo (dupla presumida)
1114,Diego e Victor Hugo,30729,ÁUDIO,Sertanejo (dupla presumida)
1115,Diego e Victor Hugo ft. Bruno e Marrone,31028,FACAS,Sertanejo
1116,Diego e Victor Hugo part. Bruno e Marrone,30561,SEM CONTRAINDICAÇÃO,Sertanejo
1117,Diego e Victor Hugo part. Henrique e Juliano,30531,O ALVO,Sertanejo
1118,Diego Faria,33060,ELAS FICAM LOUCAS,Desconhecido
1119,Dilsinho,30685,12 HORAS,Desconhecido
1120,Dilsinho,30710,PÉSSIMO NEGÓCIO,Desconhecido
1121,Dilsinho,30470,REFÉM,Desconhecido
1122,Dilsinho ft. Ivete Sangalo,30628,IOIÔ,Desconhecido
1123,Diogo Nogueira,30024,PODER DA CRIAÇÃO,Samba/Pagode
1124,Diogo Nogueira,33005,ESPELHO,Samba/Pagode
1125,Diogo Nogueira,01132,MALANDO É MALANDRO E MANÉ É MANÉ,Samba/Pagode
1126,Diogo Nogueira,07381,ME LEVA,Samba/Pagode
1127,DJ Ivis ft. Tarcísio do Acordeon,31029,ESQUEMA PREFERIDO,Desconhecido
1128,"DJ Ivis, Eric Land",31082,SÓ FINGI,Desconhecido
1129,Djavan,33531,A ILHA,MPB/Romântico
1130,Djavan,30686,ACELEROU,MPB/Romântico
1131,Djavan,09383,ÁLIBI,MPB/Romântico
1132,Djavan,06809,AZUL,MPB/Romântico
1133,Djavan,01648,BOA NOITE,MPB/Romântico
1134,Djavan,33894,CORRENTEZA,MPB/Romântico
1135,Djavan,33584,ESQUINAS,MPB/Romântico
1136,Djavan,06415,FALTANDO UM PEDAÇO,MPB/Romântico
1137,Djavan,09457,FATO CONSUMADO,MPB/Romântico
1138,Djavan,03104,FLOR DE LIS,MPB/Romântico
1139,Djavan,03154,MEU BEM QUERER,MPB/Romântico
1140,Djavan,03194,OCEANO,MPB/Romântico
1141,Djavan,03215,PÉTALA,MPB/Romântico
1142,Djavan,04096,SAMURAI,MPB/Romântico
1143,Djavan,03252,SE...,MPB/Romântico
1144,Djavan,03257,SINA,MPB/Romântico
1145,Djavan,15509,SORRI (SMILE),MPB/Romântico
1146,Djavan,07717,UM AMOR PURO,MPB/Romântico
1147,Djavan,04343,AÇAÍ,MPB/Romântico
1148,Djavan,04111,EU TE DEVORO,MPB/Romântico
1149,Djavan,03328,LILÁS,MPB/Romântico
1150,Djavan,03130,LINHA DO EQUADOR,MPB/Romântico
1151,Djavan,03964,NEM UM DIA,MPB/Romântico
1152,Djavan,03199,OUTONO,MPB/Romântico
1153,Dolores Duran,03503,A NOITE DO MEU BEM,Desconhecido
1154,Dom e Ravel,30669,SÓ O AMOR CONSTRÓI,Sertanejo (dupla presumida)
1155,Dominguinhos,03091,EU SÓ QUERO UM XODÓ,Desconhecido
1156,Dominguinhos,03118,ISSO AQUI TÁ BOM DEMAIS,Desconhecido
1157,Dominó,01689,MANEQUIM,Desconhecido
1158,Dominó,01737,P DA VIDA,Desconhecido
1159,Dominó,02885,COM TODOS MENOS COMIGO,Desconhecido
1160,Dominó,01722,COMPANHEIRO,Desconhecido
1161,Donizette,04273,GALOPEIRA,Desconhecido
1162,Dorival Caymmi,03139,MARINA,Desconhecido
1163,Douglas e Vinícius ft. MC Bruninho,31030,FIGURINHA,Sertanejo (dupla presumida)
1164,Dr. Silvana e Cia,03447,SERÃO EXTRA,Sertanejo (dupla presumida)
1165,Dr. Silvana e Cia,07118,EH OH EH OH,Sertanejo (dupla presumida)
1166,Dream Team do Passinho,30462,OI SUMIDO,Desconhecido
1167,Dudu Nobre,07043,A GRANDE FAMÍLIA,Samba/Pagode
1168,Dudu Nobre,04445,"NO MEXE MEXE, NO BOLE BOLE",Samba/Pagode
1169,Dudu Nobre,06677,TEMPO DE DON DON,Samba/Pagode
1170,Duduca e Dalvan,06761,A DAMA DE VERMELHO,Sertanejo (dupla presumida)
1171,Duduca e Dalvan,33189,ESPINHEIRA,Sertanejo (dupla presumida)
1172,Duduca e Dalvan,30361,MULHER MARAVILHA,Sertanejo (dupla presumida)
1173,Duduca e Dalvan,07689,RASTROS NA AREIA,Sertanejo (dupla presumida)
1174,Duduca e Dalvan,30887,MEUS PEDAÇOS,Sertanejo (dupla presumida)
1175,É O Tchan,04061,A NOVA LOIRA DO TCHAN,Desconhecido
1176,É O Tchan,30097,BOTA A CARA NO SOL,Desconhecido
1177,É O Tchan,33602,BRINCADEIRA DA TOMADA,Desconhecido
1178,É O Tchan,03552,DANÇA DA CORDINHA,Desconhecido
1179,É O Tchan,03501,DANÇA DO BUMBUM,Desconhecido
1180,É O Tchan,03150,MELÔ DO TCHAN (SEGURE O TCHAN),Desconhecido
1181,É O Tchan,03767,RALANDO O TCHAN (DANÇA DO VENTRE),Desconhecido
1182,É O Tchan,33719,TCHAN NA SELVA,Desconhecido
1183,Ed Motta,04000,FORA DA LEI,Desconhecido
1184,Ed Motta,03136,MANUEL,Desconhecido
1185,Ed Motta,30581,VAMOS DANÇAR,Desconhecido
1186,Ed Motta,06009,COLOMBINA,Desconhecido
1187,Ed Motta,07256,TEM ESPAÇO NA VAN,Desconhecido
1188,Ednardo,33814,PAVÃO MISTERIOSO,Desconhecido
1189,Edson & Hudson,06485,AZUL,Sertanejo (dupla presumida)
1190,Edson & Hudson,33770,DEIXA EU TE AMAR,Sertanejo (dupla presumida)
1191,Edson & Hudson,30311,ELA ENCASQUETOU,Sertanejo (dupla presumida)
1192,Edson & Hudson,33771,ESCÂNDALO DE AMOR,Sertanejo (dupla presumida)
1193,Edson & Hudson,33456,ESQUEÇA QUE TE AMO,Sertanejo (dupla presumida)
1194,Edson & Hudson,09680,FALA,Sertanejo (dupla presumida)
1195,Edson & Hudson,01655,FOI DEUS,Sertanejo (dupla presumida)
1196,Edson & Hudson,33888,FOI VOCÊ QUEM TROUXE,Sertanejo (dupla presumida)
1197,Edson & Hudson,30314,GALERA CORAÇÃO,Sertanejo (dupla presumida)
1198,Edson & Hudson,33582,GUARDA-ROUPA VAZIO,Sertanejo (dupla presumida)
1199,Edson & Hudson,06710,PORTA RETRATO,Sertanejo (dupla presumida)
1200,Edson & Hudson,30218,SAPATEIA GALERA,Sertanejo (dupla presumida)
1201,Edson & Hudson,09890,TE QUERO PRA MIM,Sertanejo (dupla presumida)
1202,Edson & Hudson,06642,A FORÇA DA PAIXÃO,Sertanejo (dupla presumida)
1203,Edson & Hudson,30271,ABRE A JANELA,Sertanejo (dupla presumida)
1204,Edson & Hudson,30283,ASSOVIA,Sertanejo (dupla presumida)
1205,Edson & Hudson,30291,CERVEJEIRA,Sertanejo (dupla presumida)
1206,Edson & Hudson,30295,CHOCOLATE COM PIMENTA,Sertanejo (dupla presumida)
1207,Edson & Hudson,01127,CIUME EXAGERADO,Sertanejo (dupla presumida)
1208,Edson & Hudson,30312,DIZEM QUE EU MUDEI,Sertanejo (dupla presumida)
1209,Edson & Hudson,15374,É AMOR DEMAIS,Sertanejo (dupla presumida)
1210,Edson & Hudson,30329,FESTA LOUCA,Sertanejo (dupla presumida)
1211,Edson & Hudson,30437,"ME BATE, ME XINGA",Sertanejo (dupla presumida)
1212,Edson & Hudson,06617,MIL RAZOES PARA CHORAR,Sertanejo (dupla presumida)
1213,Edson & Hudson,30529,NÃO DEIXO NÃO,Sertanejo (dupla presumida)
1214,Edson & Hudson,30371,NÃO SEI DIZER QUE NÃO TE AMO,Sertanejo (dupla presumida)
1215,Edson & Hudson,30373,"NÃO TEM DIA, NÃO TEM HORA",Sertanejo (dupla presumida)
