id,artista,numero,musica,genero
2671,Maiara e Maraisa,30705,NÃO ABRO MÃO,Sertanejo
2672,Maiara e Maraisa,30066,QUASE UM CASAL,Sertanejo
2673,Maiara e Maraisa,30556,QUEM ENSINOU FUI EU,Sertanejo
2674,Maiara e Maraisa,33988,SHOW COMPLETO,Sertanejo
2675,Maiara e Maraisa,30230,SORTE QUE CÊ BEIJA BEM,Sertanejo
2676,Maiara e Maraisa,33998,VOCÊ FAZ FALTA AQUI,Sertanejo
2677,Maiara e Maraisa,30913,MINHA PESSOA ERRADA,Sertanejo
2678,Maiara e Maraisa,30914,SE EU ESCAPAR,Sertanejo
2679,Maiara e Maraísa,30849,AÍ EU BEBO,Sertanejo (dupla presumida)
2680,Maiara e Maraisa,30757,NEM TCHUM,Sertanejo
2681,Maiara e Maraísa & Zé Neto e Cristiano,30800,TRAÍ SIM,Sertanejo
2682,Maiara e Maraisa part. Jorge e Mateus,33972,FALA A VERDADE,Sertanejo
2683,Maiara e Maraisa part. Marília Mendonça,33921,MOTEL (DESCASO),Sertanejo
2684,Malta,33488,DIZ PRA MIM,Desconhecido
2685,Malta,15922,DONA NA VOZ,Desconhecido
2686,Malta,15737,MEMÓRIAS (COME WAKE ME UP),Desconhecido
2687,Malta,33825,NADA SE COMPARA,Desconhecido
2688,"Malu, DJ Lucas Beat",31087,DISCO ARRANHADO,Desconhecido
2689,Mamonas Assassinas,02821,1406,Desconhecido
2690,Mamonas Assassinas,02784,CABEÇA DE BAGRE II,Desconhecido
2691,Mamonas Assassinas,03047,CHOPIS CENTIS,Desconhecido
2692,Mamonas Assassinas,30144,DÉBIL METAL,Desconhecido
2693,Mamonas Assassinas,02807,JUMENTO CELESTINO,Desconhecido
2694,Mamonas Assassinas,03123,LÁ VEM O ALEMÃO,Desconhecido
2695,Mamonas Assassinas,03210,PELADOS EM SANTOS,Desconhecido
2696,Mamonas Assassinas,03238,ROBOCOP GAY,Desconhecido
2697,Mamonas Assassinas,02820,UMA ARLINDA MULHER,Desconhecido
2698,Mamonas Assassinas,03304,BOIS DON'T CRY,Desconhecido
2699,Mamonas Assassinas,01896,MUNDO ANIMAL,Desconhecido
2700,Mamonas Assassinas,01939,SÁBADO DE SOL,Desconhecido
2701,Mamonas Assassinas,03289,VIRA VIRA,Desconhecido
2702,Maneva,30667,SAUDADES DO TEMPO,Pop/Funk BR
2703,Mano a Mano,03340,PEDINDO AMOR,Desconhecido
2704,Mano Walter,33130,A NOITE NOS ESPERA,Desconhecido
2705,Mano Walter,33755,BALADA DO VAQUEIRO,Desconhecido
2706,Mano Walter,30629,JURAMENTO DO DEDINHO,Desconhecido
2707,Mano Walter,30370,NÃO DEIXO NÃO,Desconhecido
2708,Mano Walter,33813,PLAYBOY FAZENDEIRO,Desconhecido
2709,Mano Walter ft. Cláudia Leitte,30979,ENTÃO VEM CÁ,Desconhecido
2710,Mano Walter part. Marília Mendonça,33980,O QUE HOUVE?,Sertanejo
2711,Manu Gavassi,02688,GAROTO ERRADO,Desconhecido
2712,"Manu Gavassi, Gloria Groove",30980,DEVE SER HORRÍVEL DORMIR SEM MIM,Pop/Funk BR
2713,Marcelinho de Lima,30490,PAGO PRA VER,Desconhecido
2714,Marcelo Augusto,15369,COMPLETAMENTE APAIXONADOS,Desconhecido
2715,Marcelo D2,06747,QUAL É,Desconhecido
2716,Marcelo Jeneci,02673,FELICIDADE,Desconhecido
2717,Marcelo Jeneci,15148,PRA SONHAR,Desconhecido
2718,Márcia Fellipe,33904,AQUI Ó PRO MEU EX,Desconhecido
2719,Márcia Fellipe & Jerry Smith,30661,QUEM ME DERA,Sertanejo (dupla presumida)
2720,Márcio Greick,07555,APARÊNCIAS,Desconhecido
2721,Márcio Greyck,30163,IMPOSSÍVEL ACREDITAR QUE PERDI VOCÊ,Desconhecido
2722,Márcio Greyck,06383,O MAIS IMPORTANTE É O VERDADEIRO AMOR,Desconhecido
2723,Marco e Mário,33177,QUEM É ELA,Sertanejo (dupla presumida)
2724,Marcos e Belutti,01970,BORA SE ACABAR,Sertanejo (dupla presumida)
2725,Marcos e Belutti,30492,COMO UM BEIJO,Sertanejo (dupla presumida)
2726,Marcos e Belutti,33239,DOMINGO DE MANHÃ,Sertanejo (dupla presumida)
2727,Marcos e Belutti,01807,DUPLA SOLIDÃO,Sertanejo (dupla presumida)
2728,Marcos e Belutti,33078,ENTÃO FOGE,Sertanejo (dupla presumida)
2729,Marcos e Belutti,30154,EU ERA,Sertanejo (dupla presumida)
2730,Marcos e Belutti,15123,I LOVE YOU,Sertanejo (dupla presumida)
2731,Marcos e Belutti,33240,IRRACIONAL,Sertanejo (dupla presumida)
2732,Marcos e Belutti,01536,PERDOA AMOR,Sertanejo (dupla presumida)
2733,Marcos e Belutti,33286,POEIRA DA LUA,Sertanejo (dupla presumida)
2734,Marcos e Belutti,01743,SEM ME CONTROLAR,Sertanejo (dupla presumida)
2735,Marcos e Belutti,30493,SERÁ QUE VAI ROLAR,Sertanejo (dupla presumida)
2736,Marcos e Belutti,30071,SOLTEIRO APAIXONADO,Sertanejo (dupla presumida)
2737,Marcos e Belutti & Fernando e Sorocaba,15324,CALMA AÍ,Sertanejo (dupla presumida)
2738,Marcos e Belutti & Wesley Safadão,33416,AQUELE 1%,Forró/Piseiro
2739,Marcos e Belutti part. Fernando Zor,33806,ROMÂNTICO ANÔNIMO,Sertanejo (dupla presumida)
2740,Marcos e Belutti part. Marília Mendonça,30608,CANCELA O SENTIMENTO,Sertanejo
2741,Marcos e Fernando,33756,"TCC - TRUCO, CERVEJA E CHURRASCO",Sertanejo (dupla presumida)
2742,Marcos e Fernando part. Henrique e Juliano,30034,TROCARIA TUDO,Sertanejo
2743,Marcos Sabino,04051,RELUZ,Desconhecido
2744,Marcus Viana,06244,A MIRAGEM,Desconhecido
2745,Margareth Menezes,30303,DANDALUNDA,Desconhecido
2746,Maria Bethânia,03459,BRINCAR DE VIVER,MPB/Romântico
2747,Maria Bethânia,33399,CARCARÁ,MPB/Romântico
